MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,2,2,2,2,2,4,5,5,5,5,5,5,4,6,5,5,5,5,5,5,5,6,2.0,4.8,5.0,5.17,1,EduYes,3.082723530413198,9.50318436496321,False,2.0,4.8,5.0,5.166666666666667,-0.9259498487669132,0.8009849055738067,1.1332904351379978,1.0900497992550215
1,2,1,1,2,1,5,4,4,4,5,6,2,1,4,4,6,6,5,3,4,6,5,1.4,4.4,3.83,4.83,1,EduYes,3.954447667069547,15.637656351591785,False,1.4,4.4,3.8333333333333335,4.833333333333333,-1.4592818851326592,0.30820506149253013,-0.34371505960435283,0.7806374690753108
2,1,1,3,2,2,4,1,3,1,2,3,1,2,4,2,4,6,4,4,5,6,4,1.8,2.2,2.67,4.83,0,EduNo,4.379973147467382,19.184164772535325,False,1.8,2.2,2.6666666666666665,4.833333333333333,-1.1037271942221618,-2.4020840809544954,-1.820720554346704,0.7806374690753108
1,2,2,2,2,2,4,4,5,3,2,4,2,5,3,4,5,5,5,5,5,4,5,2.0,3.6,3.83,4.83,1,EduYes,3.236640713505668,10.47584310832248,False,2.0,3.6,3.8333333333333335,4.833333333333333,-0.9259498487669132,-0.6773546266700249,-0.34371505960435283,0.7806374690753108
1,2,2,2,4,3,2,4,4,5,5,6,1,4,6,6,5,4,4,1,5,4,5,2.6,4.0,4.67,3.83,1,EduYes,5.412706274746178,29.297389216676645,False,2.6,4.0,4.666666666666667,3.8333333333333335,-0.39261781240116717,-0.18457478258874763,0.7112888652116122,-0.1475995214638196
2,5,4,4,4,4,1,6,5,5,4,5,4,5,4,5,5,5,5,4,4,4,5,4.2,4.2,4.67,4.5,0,EduNo,4.609794942139943,21.250209408579,False,4.2,4.2,4.666666666666667,4.5,1.0296009512408222,0.061815139451891245,0.7112888652116122,0.4712251388956008
1,2,2,2,2,3,4,2,4,4,4,3,5,1,4,5,4,4,4,1,3,4,4,2.2,3.6,3.67,3.33,1,EduYes,4.461390817253082,19.904008024270123,False,2.2,3.6,3.6666666666666665,3.3333333333333335,-0.7481725033116644,-0.6773546266700249,-0.5547158445675462,-0.611718016733385
2,1,4,3,4,6,2,6,5,5,4,5,2,1,3,5,5,6,4,5,1,6,1,3.6,4.4,3.5,3.83,0,EduNo,6.461905918897206,41.75622810467875,False,3.6,4.4,3.5,3.8333333333333335,0.49626891487507613,0.30820506149253013,-0.7657166295307389,-0.1475995214638196
2,2,2,2,2,4,2,5,5,5,5,4,2,5,3,2,5,5,4,2,2,5,2,2.4,4.4,3.5,3.33,0,EduNo,4.984986682700004,24.850092226696393,False,2.4,4.4,3.5,3.3333333333333335,-0.570395157856416,0.30820506149253013,-0.7657166295307389,-0.611718016733385
1,2,3,4,1,1,3,3,4,5,5,2,5,5,4,3,5,5,5,6,1,2,5,2.2,4.0,4.0,4.0,1,EduYes,5.956310736721384,35.47763759238243,False,2.2,4.0,4.0,4.0,-0.7481725033116644,-0.18457478258874763,-0.13271427464116006,0.007106643626035387
