MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,4,2,2,2,2,5,3,4,2,4,5,2,4,3,3,3,5,5,2,2,5,4,2.4,3.6,3.33,3.83,1,EduYes,4.303520427624574,18.520288070981994,False,2.4,3.6,3.3333333333333335,3.8333333333333335,-0.5682695217018949,-0.6003982333197445,-0.9549946313124107,-0.1347384716761566
1,3,5,5,4,2,3,4,2,2,5,2,1,2,6,1,2,3,4,3,3,2,1,3.8,3.2,2.33,2.67,1,EduYes,6.555005688567994,42.96809957715876,False,3.8,3.2,2.3333333333333335,2.6666666666666665,0.6766853575678513,-1.0679083243313854,-2.1989727681595066,-1.214759789739151
1,4,3,3,5,6,5,4,5,4,3,4,6,5,5,5,5,5,6,4,6,6,4,4.2,4.2,5.0,5.17,1,EduYes,4.517790295207992,20.410429151475515,False,4.2,4.2,5.0,5.166666666666667,1.032386751644922,0.1008669031977171,1.1183022634327493,1.0995716061101226
1,2,2,3,2,2,6,2,6,6,4,6,2,2,5,2,5,5,5,5,5,5,5,2.2,4.8,3.67,5.0,1,EduYes,5.206765501892951,27.110406991702554,False,2.2,4.8,3.6666666666666665,5.0,-0.7461202187404299,0.8021320397151782,-0.540335252363379,0.9452828463868375
1,2,2,2,3,4,5,6,4,4,5,6,2,3,4,6,5,5,5,3,6,5,5,2.6,4.8,4.33,4.83,1,EduYes,3.7880876113739776,14.349607751445008,False,2.6,4.8,4.333333333333333,4.833333333333333,-0.3904188246633596,0.8021320397151782,0.2889835055346849,0.7909940866635523
2,2,1,1,1,1,4,4,4,3,3,4,1,3,3,4,5,6,5,5,6,6,5,1.2,3.6,3.33,5.5,0,EduNo,2.9849789313333326,8.910099220503884,False,1.2,3.6,3.3333333333333335,5.5,-1.635373703933106,-0.6003982333197445,-0.9549946313124107,1.408149125556692
1,2,2,2,2,2,4,5,5,5,5,5,5,4,6,5,5,5,5,5,5,5,6,2.0,4.8,5.0,5.17,1,EduYes,3.082723530413198,9.50318436496321,False,2.0,4.8,5.0,5.166666666666667,-0.9239709157789653,0.8021320397151782,1.1183022634327493,1.0995716061101226
1,2,1,1,2,1,5,4,4,4,5,6,2,1,4,4,6,6,5,3,4,6,5,1.4,4.4,3.83,4.83,1,EduYes,3.954447667069547,15.637656351591785,False,1.4,4.4,3.8333333333333335,4.833333333333333,-1.457523006894571,0.3346219487035378,-0.3330055628888626,0.7909940866635523
2,1,1,3,2,2,4,1,3,1,2,3,1,2,4,2,4,6,4,4,5,6,4,1.8,2.2,2.67,4.83,0,EduNo,4.379973147467382,19.184164772535325,False,1.8,2.2,2.6666666666666665,4.833333333333333,-1.1018216128175005,-2.2366835518604877,-1.7843133892104752,0.7909940866635523
1,2,2,2,2,2,4,4,5,3,2,4,2,5,3,4,5,5,5,5,5,4,5,2.0,3.6,3.83,4.83,1,EduYes,3.236640713505668,10.47584310832248,False,2.0,3.6,3.8333333333333335,4.833333333333333,-0.9239709157789653,-0.6003982333197445,-0.3330055628888626,0.7909940866635523
